instance,timestamp,cpu_usage,memory_usage,network_usage,wattage,num_processes,process_wattage,processes
knode1,2023-11-05 10:19:09.914120,0,0.6078937381404175,0,835192.0,5,904867.0,"[('teastore-registry-0', 67312.0), ('teastore-image-0', 433275.0), ('teastore-auth-0', 138477.0), ('teastore-webui-0', 96305.0), ('teastore-recommender-0', 169498.0)]"
knode2,2023-11-05 10:19:09.914126,0,0.5250058022073614,0,1799840.0,0,0,[]
knode1,2023-11-05 10:19:19.967456,0,0.6078937381404175,0,835192.0,5,904867.0,"[('teastore-registry-0', 67312.0), ('teastore-image-0', 433275.0), ('teastore-auth-0', 138477.0), ('teastore-webui-0', 96305.0), ('teastore-recommender-0', 169498.0)]"
knode2,2023-11-05 10:19:19.967458,0,0.5244607678576153,0,713438.0,2,140031.0,"[('teastore-persistence-0', 135957.0), ('teastore-db-0', 4074.0)]"
knode2,2023-11-05 10:19:30.023030,0,0.5244607678576153,0,713438.0,2,140031.0,"[('teastore-persistence-0', 135957.0), ('teastore-db-0', 4074.0)]"
knode1,2023-11-05 10:19:40.073529,0,0.6011301404174573,0,1535384.0,5,618034.0,"[('teastore-registry-0', 11673.0), ('teastore-image-0', 141261.0), ('teastore-auth-0', 52989.0), ('teastore-webui-0', 367385.0), ('teastore-recommender-0', 44726.0)]"
knode2,2023-11-05 10:19:40.073531,0,0.5244607678576153,0,713438.0,2,140031.0,"[('teastore-persistence-0', 135957.0), ('teastore-db-0', 4074.0)]"
knode1,2023-11-05 10:19:50.165870,0,0.6011301404174573,0,1535384.0,5,618034.0,"[('teastore-registry-0', 11673.0), ('teastore-image-0', 141261.0), ('teastore-auth-0', 52989.0), ('teastore-webui-0', 367385.0), ('teastore-recommender-0', 44726.0)]"
knode2,2023-11-05 10:19:50.165872,0,0.5240910178376168,0,15812.0,2,142515.0,"[('teastore-persistence-0', 140563.0), ('teastore-db-0', 1952.0)]"
knode2,2023-11-05 10:20:00.218839,0,0.5240910178376168,0,15812.0,2,142515.0,"[('teastore-persistence-0', 140563.0), ('teastore-db-0', 1952.0)]"
knode1,2023-11-05 10:20:10.273792,0,0.5999709753320683,0,832098.0,5,266515.0,"[('teastore-registry-0', 8969.0), ('teastore-image-0', 66116.0), ('teastore-auth-0', 48434.0), ('teastore-webui-0', 112885.0), ('teastore-recommender-0', 30111.0)]"
knode2,2023-11-05 10:20:10.273794,0,0.5240910178376168,0,15812.0,2,142515.0,"[('teastore-persistence-0', 140563.0), ('teastore-db-0', 1952.0)]"
knode1,2023-11-05 10:20:20.327718,0,0.5999709753320683,0,832098.0,5,266515.0,"[('teastore-registry-0', 8969.0), ('teastore-image-0', 66116.0), ('teastore-auth-0', 48434.0), ('teastore-webui-0', 112885.0), ('teastore-recommender-0', 30111.0)]"
knode2,2023-11-05 10:20:20.327720,0,0.5240173762156187,0,627728.0,2,102048.0,"[('teastore-persistence-0', 100302.0), ('teastore-db-0', 1746.0)]"
knode2,2023-11-05 10:20:30.413826,0,0.5240173762156187,0,627728.0,2,102048.0,"[('teastore-persistence-0', 100302.0), ('teastore-db-0', 1746.0)]"
knode1,2023-11-05 10:20:40.466716,0,0.599281669829222,0,785248.0,5,242853.0,"[('teastore-registry-0', 9295.0), ('teastore-image-0', 41444.0), ('teastore-auth-0', 31631.0), ('teastore-webui-0', 115811.0), ('teastore-recommender-0', 44672.0)]"
