instance,timestamp,cpu_usage,memory_usage,network_usage,wattage,num_processes,process_wattage,processes
knode2,2023-11-04 18:57:59.278754,0,0.5270941651226494,0,1269830.0,1,325555.0,"[('teastore-persistence-0', 325555.0)]"
knode1,2023-11-04 18:58:09.334713,0,0.647336440227704,0,1035288.0,5,339581.0,"[('teastore-registry-0', 13731.0), ('teastore-webui-0', 50051.0), ('teastore-image-0', 205226.0), ('teastore-recommender-0', 48279.0), ('teastore-auth-0', 22294.0)]"
knode2,2023-11-04 18:58:09.334715,0,0.5270941651226494,0,1269830.0,1,325555.0,"[('teastore-persistence-0', 325555.0)]"
knode1,2023-11-04 18:58:19.392484,0,0.647336440227704,0,1035288.0,5,339581.0,"[('teastore-registry-0', 13731.0), ('teastore-webui-0', 50051.0), ('teastore-image-0', 205226.0), ('teastore-recommender-0', 48279.0), ('teastore-auth-0', 22294.0)]"
knode2,2023-11-04 18:58:19.392485,0,0.5265813258538774,0,489630.0,2,19735.0,"[('teastore-persistence-0', 19300.0), ('teastore-db-0', 435.0)]"
knode2,2023-11-04 18:58:29.447768,0,0.5265813258538774,0,489630.0,2,19735.0,"[('teastore-persistence-0', 19300.0), ('teastore-db-0', 435.0)]"
knode1,2023-11-04 18:58:39.503136,0,0.6463385502846299,0,487572.0,5,108210.0,"[('teastore-registry-0', 7802.0), ('teastore-webui-0', 34939.0), ('teastore-image-0', 17300.0), ('teastore-recommender-0', 28042.0), ('teastore-auth-0', 20127.0)]"
knode2,2023-11-04 18:58:39.503138,0,0.5265813258538774,0,489630.0,2,19735.0,"[('teastore-persistence-0', 19300.0), ('teastore-db-0', 435.0)]"
knode1,2023-11-04 18:58:49.560197,0,0.6463385502846299,0,487572.0,5,108210.0,"[('teastore-registry-0', 7802.0), ('teastore-webui-0', 34939.0), ('teastore-image-0', 17300.0), ('teastore-recommender-0', 28042.0), ('teastore-auth-0', 20127.0)]"
knode2,2023-11-04 18:58:49.560199,0,0.5264690131288703,0,489512.0,2,16809.0,"[('teastore-persistence-0', 16193.0), ('teastore-db-0', 616.0)]"
knode2,2023-11-04 18:58:59.611567,0,0.5264690131288703,0,489512.0,2,16809.0,"[('teastore-persistence-0', 16193.0), ('teastore-db-0', 616.0)]"
knode1,2023-11-04 18:59:09.666068,0,0.644658155597723,0,436758.0,5,86456.0,"[('teastore-registry-0', 7753.0), ('teastore-webui-0', 24786.0), ('teastore-image-0', 14683.0), ('teastore-recommender-0', 23846.0), ('teastore-auth-0', 15388.0)]"
knode2,2023-11-04 18:59:09.666070,0,0.5264690131288703,0,489512.0,2,16809.0,"[('teastore-persistence-0', 16193.0), ('teastore-db-0', 616.0)]"
knode1,2023-11-04 18:59:19.727183,0,0.644658155597723,0,436758.0,5,86456.0,"[('teastore-registry-0', 7753.0), ('teastore-webui-0', 24786.0), ('teastore-image-0', 14683.0), ('teastore-recommender-0', 23846.0), ('teastore-auth-0', 15388.0)]"
knode2,2023-11-04 18:59:19.727186,0,0.5263510878514329,0,412054.0,2,12414.0,"[('teastore-persistence-0', 12150.0), ('teastore-db-0', 264.0)]"
knode2,2023-11-04 18:59:29.784740,0,0.5263510878514329,0,412054.0,2,12414.0,"[('teastore-persistence-0', 12150.0), ('teastore-db-0', 264.0)]"
knode1,2023-11-04 18:59:39.841889,0,0.6429095104364326,0,4950.0,5,88083.0,"[('teastore-registry-0', 13265.0), ('teastore-webui-0', 23737.0), ('teastore-image-0', 16639.0), ('teastore-recommender-0', 18617.0), ('teastore-auth-0', 15825.0)]"
knode2,2023-11-04 18:59:39.841891,0,0.5263510878514329,0,412054.0,2,12414.0,"[('teastore-persistence-0', 12150.0), ('teastore-db-0', 264.0)]"
knode1,2023-11-04 18:59:49.900953,0,0.6429095104364326,0,4950.0,5,88083.0,"[('teastore-registry-0', 13265.0), ('teastore-webui-0', 23737.0), ('teastore-image-0', 16639.0), ('teastore-recommender-0', 18617.0), ('teastore-auth-0', 15825.0)]"
knode2,2023-11-04 18:59:49.900954,0,0.5262980461471461,0,44268.0,2,17216.0,"[('teastore-persistence-0', 16917.0), ('teastore-db-0', 299.0)]"
knode2,2023-11-04 18:59:59.955942,0,0.5262980461471461,0,44268.0,2,17216.0,"[('teastore-persistence-0', 16917.0), ('teastore-db-0', 299.0)]"
knode1,2023-11-04 19:00:10.016178,0,0.6422890626185959,0,385528.0,5,58151.0,"[('teastore-registry-0', 6371.0), ('teastore-webui-0', 15407.0), ('teastore-image-0', 9846.0), ('teastore-recommender-0', 18650.0), ('teastore-auth-0', 7877.0)]"
knode2,2023-11-04 19:00:10.016180,0,0.5262980461471461,0,44268.0,2,17216.0,"[('teastore-persistence-0', 16917.0), ('teastore-db-0', 299.0)]"
knode1,2023-11-04 19:00:20.067670,0,0.6422890626185959,0,385528.0,5,58151.0,"[('teastore-registry-0', 6371.0), ('teastore-webui-0', 15407.0), ('teastore-image-0', 9846.0), ('teastore-recommender-0', 18650.0), ('teastore-auth-0', 7877.0)]"
knode2,2023-11-04 19:00:20.067672,0,0.5261799358405078,0,7964.0,2,21475.0,"[('teastore-persistence-0', 21052.0), ('teastore-db-0', 423.0)]"
knode2,2023-11-04 19:00:30.157931,0,0.5261799358405078,0,7964.0,2,21475.0,"[('teastore-persistence-0', 21052.0), ('teastore-db-0', 423.0)]"
