Method,Name,Error,Occurrences
GET,/product,"ConnectionRefusedError(111, 'Connection refused')",525
GET,/tools.descartes.teastore.webui,RemoteDisconnected('Remote end closed connection without response'),1
GET,/tools.descartes.teastore.webui,"ConnectionResetError(104, 'Connection reset by peer')",3
GET,/category,"ConnectionResetError(104, 'Connection reset by peer')",370
GET,/product,"ConnectionResetError(104, 'Connection reset by peer')",62
GET,/tools.descartes.teastore.webui/cart,"ConnectionRefusedError(111, 'Connection refused')",72
GET,/category,"ConnectionRefusedError(111, 'Connection refused')",1811
GET,/tools.descartes.teastore.webui/order,"ConnectionRefusedError(111, 'Connection refused')",8
GET,/tools.descartes.teastore.webui,"ConnectionRefusedError(111, 'Connection refused')",69
POST,/cartAction | add to cart,"ConnectionRefusedError(111, 'Connection refused')",72
GET,/category,HTTPError('500 Server Error:  for url: /category'),3
POST,/cartAction | add to cart,"ConnectionResetError(104, 'Connection reset by peer')",2
POST,/cartAction | pay,"ConnectionRefusedError(111, 'Connection refused')",8
