Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1699278322,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1699278323,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1699278324,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1699278325,6,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1699278326,8,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1699278327,10,GET,/category,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,10,1,2200.0,2182.7762968838215,197.89937138557434,4204.108148813248,112395.7
1699278327,10,,Aggregated,0.000000,0.000000,2200,3000,3200,4200,4200,4200,4200,4200,4200,4200,4200,10,1,2200.0,2182.7762968838215,197.89937138557434,4204.108148813248,112395.7
1699278328,12,GET,/category,0.000000,0.000000,170,170,170,170,170,170,170,170,170,170,170,14,1,1200.0,1599.294153707368,66.98203086853027,4204.108148813248,114896.21428571429
1699278328,12,,Aggregated,0.000000,0.000000,1200,2200,3000,3200,4200,4200,4200,4200,4200,4200,4200,14,1,1200.0,1599.294153707368,66.98203086853027,4204.108148813248,114896.21428571429
1699278329,14,GET,/category,2.000000,0.200000,67,160,170,170,170,170,170,170,170,170,170,18,1,200.0,1257.3986368046867,51.25207453966141,4204.108148813248,115507.0
1699278329,14,GET,/product,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1181.5251111984253,1181.5251111984253,1181.5251111984253,1181.5251111984253,108073.0
1699278329,14,,Aggregated,2.000000,0.200000,200,1200,2200,3000,4200,4200,4200,4200,4200,4200,4200,19,1,200.0,1253.4052933517255,51.25207453966141,4204.108148813248,115115.73684210527
1699278330,16,GET,/category,2.166667,0.166667,64,130,160,160,170,170,170,170,170,170,170,23,1,170.0,1003.7158724406492,47.63875901699066,4204.108148813248,116125.13043478261
1699278330,16,GET,/product,0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,3,0,140.0,473.02306195100147,95.54329514503479,1181.5251111984253,104870.0
1699278330,16,,Aggregated,2.166667,0.166667,170,1200,1200,2200,3200,4200,4200,4200,4200,4200,4200,26,1,160.0,942.4820866149205,47.63875901699066,4204.108148813248,114826.46153846153
1699278331,18,GET,/category,2.428571,0.142857,64,130,160,160,170,180,180,180,180,180,180,29,1,160.0,814.5626372304456,47.63875901699066,4204.108148813248,119294.3448275862
1699278331,18,GET,/product,0.142857,0.000000,96,96,140,140,140,140,140,140,140,140,140,4,0,96,375.028308480978,81.04404807090759,1181.5251111984253,108940.0
1699278331,18,,Aggregated,2.571429,0.142857,150,180,1200,1200,3000,4200,4200,4200,4200,4200,4200,33,1,150.0,761.2857488971767,47.63875901699066,4204.108148813248,118039.27272727272
1699278332,20,GET,/category,2.875000,0.125000,64,130,160,160,170,180,200,200,200,200,200,34,1,150.0,709.1501131653786,43.65728795528412,4204.108148813248,119494.35294117648
1699278332,20,GET,/product,0.250000,0.000000,96,96,140,140,140,140,140,140,140,140,140,5,0,96,315.66291749477386,78.20135354995728,1181.5251111984253,108312.8
1699278332,20,,Aggregated,3.125000,0.125000,140,170,200,1200,3000,4200,4200,4200,4200,4200,4200,39,1,140.0,658.7030367973523,43.65728795528412,4204.108148813248,118060.82051282052
