Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1699823194,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1699823195,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1699823196,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1699823197,6,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1699823198,8,GET,/category,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,8,3,1800.0,2282.7479280531406,821.6045126318932,3714.1366824507713,75143.125
1699823198,8,,Aggregated,0.000000,0.000000,2700,2800,3700,3700,3700,3700,3700,3700,3700,3700,3700,8,3,1800.0,2282.7479280531406,821.6045126318932,3714.1366824507713,75143.125
1699823199,10,GET,/category,0.000000,0.000000,70,70,150,150,150,150,150,150,150,150,150,11,3,1800.0,1685.906702821905,63.553906977176666,3714.1366824507713,87323.45454545454
1699823199,10,,Aggregated,0.000000,0.000000,1800,2700,2800,2800,3700,3700,3700,3700,3700,3700,3700,11,3,1800.0,1685.906702821905,63.553906977176666,3714.1366824507713,87323.45454545454
1699823200,12,GET,/category,0.000000,0.000000,70,150,150,160,180,180,180,180,180,180,180,17,3,180.0,1130.6613688083255,57.098113000392914,3714.1366824507713,100046.41176470589
1699823200,12,,Aggregated,0.000000,0.000000,180,1800,1800,2700,3700,3700,3700,3700,3700,3700,3700,17,3,180.0,1130.6613688083255,57.098113000392914,3714.1366824507713,100046.41176470589
1699823201,14,GET,/category,2.000000,0.600000,150,160,180,180,180,190,190,190,190,190,190,19,3,180.0,1031.3719416919507,57.098113000392914,3714.1366824507713,103318.15789473684
1699823201,14,GET,/product,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,65,284.8996091634035,64.55390900373459,942.6427707076073,58450.75
1699823201,14,,Aggregated,2.000000,0.600000,180,830,1800,1800,2800,3700,3700,3700,3700,3700,3700,23,3,180.0,901.5506664695947,57.098113000392914,3714.1366824507713,95515.13043478261
