instance,timestamp,cpu_usage,memory_usage,network_usage,wattage,num_processes,process_wattage,processes
knode1,2023-11-11 09:28:12.908074,0,0.46493498292220115,0,392362.0,2,15869.0,"[('teastore-image-0', 15576.0), ('teastore-db-0', 293.0)]"
knode2,2023-11-11 09:28:12.908076,0,0.37649507449183117,0,120620.0,5,191794.0,"[('teastore-registry-0', 18486.0), ('teastore-auth-0', 44971.0), ('teastore-recommender-0', 40883.0), ('teastore-persistence-0', 17953.0), ('teastore-webui-0', 69501.0)]"
knode1,2023-11-11 09:28:22.966235,0,0.46493498292220115,0,392362.0,2,15869.0,"[('teastore-image-0', 15576.0), ('teastore-db-0', 293.0)]"
knode2,2023-11-11 09:28:22.966237,0,0.37240870458774356,0,428194.0,5,472097.0,"[('teastore-registry-0', 11317.0), ('teastore-auth-0', 43114.0), ('teastore-recommender-0', 59281.0), ('teastore-persistence-0', 54566.0), ('teastore-webui-0', 303819.0)]"
knode1,2023-11-11 09:28:33.027917,0,0.4638696925996205,0,215788.0,2,138868.0,"[('teastore-image-0', 137538.0), ('teastore-db-0', 1330.0)]"
knode2,2023-11-11 09:28:33.027919,0,0.37240870458774356,0,428194.0,5,472097.0,"[('teastore-registry-0', 11317.0), ('teastore-auth-0', 43114.0), ('teastore-recommender-0', 59281.0), ('teastore-persistence-0', 54566.0), ('teastore-webui-0', 303819.0)]"
knode1,2023-11-11 09:28:43.123384,0,0.4638696925996205,0,215788.0,2,138868.0,"[('teastore-image-0', 137538.0), ('teastore-db-0', 1330.0)]"
knode2,2023-11-11 09:28:43.123386,0,0.37240870458774356,0,428194.0,5,472097.0,"[('teastore-registry-0', 11317.0), ('teastore-auth-0', 43114.0), ('teastore-recommender-0', 59281.0), ('teastore-persistence-0', 54566.0), ('teastore-webui-0', 303819.0)]"
knode1,2023-11-11 09:28:53.187519,0,0.4638696925996205,0,215788.0,2,138868.0,"[('teastore-image-0', 137538.0), ('teastore-db-0', 1330.0)]"
knode2,2023-11-11 09:28:53.187528,0,0.3738741358596645,0,1107036.0,5,852085.0,"[('teastore-registry-0', 30861.0), ('teastore-auth-0', 96272.0), ('teastore-recommender-0', 56288.0), ('teastore-persistence-0', 238739.0), ('teastore-webui-0', 429925.0)]"
knode1,2023-11-11 09:29:03.245829,0,0.4636099278937381,0,502359.99999999994,2,70767.0,"[('teastore-image-0', 68945.0), ('teastore-db-0', 1822.0)]"
knode2,2023-11-11 09:29:03.245831,0,0.3738741358596645,0,1107036.0,5,852085.0,"[('teastore-registry-0', 30861.0), ('teastore-auth-0', 96272.0), ('teastore-recommender-0', 56288.0), ('teastore-persistence-0', 238739.0), ('teastore-webui-0', 429925.0)]"
knode1,2023-11-11 09:29:13.327376,0,0.4636099278937381,0,502360.0,2,70767.0,"[('teastore-image-0', 68945.0), ('teastore-db-0', 1822.0)]"
knode2,2023-11-11 09:29:13.327379,0,0.3738741358596645,0,1107036.0,5,852085.0,"[('teastore-registry-0', 30861.0), ('teastore-auth-0', 96272.0), ('teastore-recommender-0', 56288.0), ('teastore-persistence-0', 238739.0), ('teastore-webui-0', 429925.0)]"
knode1,2023-11-11 09:29:23.386566,0,0.4636099278937381,0,502360.0,2,70767.0,"[('teastore-image-0', 68945.0), ('teastore-db-0', 1822.0)]"
knode2,2023-11-11 09:29:23.386568,0,0.37157582647764165,0,1933802.0,5,447062.0,"[('teastore-registry-0', 12208.0), ('teastore-auth-0', 54778.0), ('teastore-recommender-0', 58152.0), ('teastore-persistence-0', 115340.0), ('teastore-webui-0', 206584.0)]"
knode1,2023-11-11 09:29:33.441015,0,0.46352831878557876,0,480134.0,2,52161.0,"[('teastore-image-0', 50636.0), ('teastore-db-0', 1525.0)]"
knode2,2023-11-11 09:29:33.441016,0,0.37157582647764165,0,1933802.0,5,447062.0,"[('teastore-registry-0', 12208.0), ('teastore-auth-0', 54778.0), ('teastore-recommender-0', 58152.0), ('teastore-persistence-0', 115340.0), ('teastore-webui-0', 206584.0)]"
knode1,2023-11-11 09:29:43.524564,0,0.46352831878557876,0,480134.0,2,52161.0,"[('teastore-image-0', 50636.0), ('teastore-db-0', 1525.0)]"
knode2,2023-11-11 09:29:43.524568,0,0.37157582647764165,0,1933802.0,5,447062.0,"[('teastore-registry-0', 12208.0), ('teastore-auth-0', 54778.0), ('teastore-recommender-0', 58152.0), ('teastore-persistence-0', 115340.0), ('teastore-webui-0', 206584.0)]"
knode1,2023-11-11 09:29:53.586071,0,0.46352831878557876,0,480134.0,2,52161.0,"[('teastore-image-0', 50636.0), ('teastore-db-0', 1525.0)]"
knode2,2023-11-11 09:29:53.586072,0,0.37228337814226614,0,1760470.0,5,351446.0,"[('teastore-registry-0', 13276.0), ('teastore-auth-0', 58416.0), ('teastore-recommender-0', 30536.0), ('teastore-persistence-0', 89521.0), ('teastore-webui-0', 159697.0)]"
knode1,2023-11-11 09:30:03.643525,0,0.4637695028462998,0,464164.0,2,36733.0,"[('teastore-image-0', 35333.0), ('teastore-db-0', 1400.0)]"
knode2,2023-11-11 09:30:03.643526,0,0.37228337814226614,0,1760470.0,5,351446.0,"[('teastore-registry-0', 13276.0), ('teastore-auth-0', 58416.0), ('teastore-recommender-0', 30536.0), ('teastore-persistence-0', 89521.0), ('teastore-webui-0', 159697.0)]"
knode1,2023-11-11 09:30:13.702854,0,0.4637695028462998,0,464164.0,2,36733.0,"[('teastore-image-0', 35333.0), ('teastore-db-0', 1400.0)]"
knode2,2023-11-11 09:30:13.702857,0,0.37228337814226614,0,1760470.0,5,351446.0,"[('teastore-registry-0', 13276.0), ('teastore-auth-0', 58416.0), ('teastore-recommender-0', 30536.0), ('teastore-persistence-0', 89521.0), ('teastore-webui-0', 159697.0)]"
knode1,2023-11-11 09:30:23.805486,0,0.4637695028462998,0,464164.0,2,36733.0,"[('teastore-image-0', 35333.0), ('teastore-db-0', 1400.0)]"
knode2,2023-11-11 09:30:23.805489,0,0.3708915884923432,0,1383966.0,5,194797.0,"[('teastore-registry-0', 8239.0), ('teastore-auth-0', 39799.0), ('teastore-recommender-0', 20832.0), ('teastore-persistence-0', 61253.0), ('teastore-webui-0', 64674.0)]"
knode1,2023-11-11 09:30:33.892643,0,0.4639800834914611,0,453996.0000000001,2,36597.0,"[('teastore-image-0', 35236.0), ('teastore-db-0', 1361.0)]"
knode2,2023-11-11 09:30:33.892645,0,0.3708915884923432,0,1383966.0,5,194797.0,"[('teastore-registry-0', 8239.0), ('teastore-auth-0', 39799.0), ('teastore-recommender-0', 20832.0), ('teastore-persistence-0', 61253.0), ('teastore-webui-0', 64674.0)]"
knode1,2023-11-11 09:30:43.978513,0,0.4639800834914611,0,453996.0,2,36597.0,"[('teastore-image-0', 35236.0), ('teastore-db-0', 1361.0)]"
knode2,2023-11-11 09:30:43.978515,0,0.3708915884923432,0,1383966.0,5,194797.0,"[('teastore-registry-0', 8239.0), ('teastore-auth-0', 39799.0), ('teastore-recommender-0', 20832.0), ('teastore-persistence-0', 61253.0), ('teastore-webui-0', 64674.0)]"
knode1,2023-11-11 09:30:54.078436,0,0.4639800834914611,0,453996.0,2,36597.0,"[('teastore-image-0', 35236.0), ('teastore-db-0', 1361.0)]"
knode2,2023-11-11 09:30:54.078438,0,0.3711778286662904,0,581684.0,5,433943.0,"[('teastore-registry-0', 14366.0), ('teastore-auth-0', 50835.0), ('teastore-recommender-0', 45125.0), ('teastore-persistence-0', 128194.0), ('teastore-webui-0', 195423.0)]"
knode1,2023-11-11 09:31:04.138463,0,0.46389325237191653,0,38598.00000000001,2,57499.0,"[('teastore-image-0', 54481.0), ('teastore-db-0', 3018.0)]"
knode2,2023-11-11 09:31:04.138465,0,0.3711778286662904,0,581684.0,5,433943.0,"[('teastore-registry-0', 14366.0), ('teastore-auth-0', 50835.0), ('teastore-recommender-0', 45125.0), ('teastore-persistence-0', 128194.0), ('teastore-webui-0', 195423.0)]"
knode1,2023-11-11 09:31:14.203119,0,0.46389325237191653,0,38598.0,2,57499.0,"[('teastore-image-0', 54481.0), ('teastore-db-0', 3018.0)]"
knode1,2023-11-11 09:31:24.265770,0,0.46389325237191653,0,38598.0,2,57499.0,"[('teastore-image-0', 54481.0), ('teastore-db-0', 3018.0)]"
knode2,2023-11-11 09:31:24.265772,0,0.36974311224173545,0,37838.0,5,450171.0,"[('teastore-registry-0', 8816.0), ('teastore-auth-0', 52393.0), ('teastore-recommender-0', 56123.0), ('teastore-persistence-0', 152092.0), ('teastore-webui-0', 180747.0)]"
knode1,2023-11-11 09:31:34.325303,0,0.46388037950664135,0,483270.0,2,53506.0,"[('teastore-image-0', 50250.0), ('teastore-db-0', 3256.0)]"
knode2,2023-11-11 09:31:34.325305,0,0.36974311224173545,0,37838.0,5,450171.0,"[('teastore-registry-0', 8816.0), ('teastore-auth-0', 52393.0), ('teastore-recommender-0', 56123.0), ('teastore-persistence-0', 152092.0), ('teastore-webui-0', 180747.0)]"
knode1,2023-11-11 09:31:44.388512,0,0.46388037950664135,0,483270.0,2,53506.0,"[('teastore-image-0', 50250.0), ('teastore-db-0', 3256.0)]"
knode1,2023-11-11 09:31:54.451483,0,0.46388037950664135,0,483270.0,2,53506.0,"[('teastore-image-0', 50250.0), ('teastore-db-0', 3256.0)]"
knode2,2023-11-11 09:31:54.451485,0,0.37073937113632044,0,1869724.0,5,387974.0,"[('teastore-registry-0', 11567.0), ('teastore-auth-0', 65421.0), ('teastore-recommender-0', 49871.0), ('teastore-persistence-0', 92727.0), ('teastore-webui-0', 168388.0)]"
knode1,2023-11-11 09:32:04.504649,0,0.4635908614800759,0,434805.99999999994,2,49003.0,"[('teastore-image-0', 47108.0), ('teastore-db-0', 1895.0)]"
knode2,2023-11-11 09:32:04.504651,0,0.37073937113632044,0,1869724.0,5,387974.0,"[('teastore-registry-0', 11567.0), ('teastore-auth-0', 65421.0), ('teastore-recommender-0', 49871.0), ('teastore-persistence-0', 92727.0), ('teastore-webui-0', 168388.0)]"
knode1,2023-11-11 09:32:14.602588,0,0.4635908614800759,0,434806.0,2,49003.0,"[('teastore-image-0', 47108.0), ('teastore-db-0', 1895.0)]"
knode1,2023-11-11 09:32:24.664101,0,0.4635908614800759,0,434806.0,2,49003.0,"[('teastore-image-0', 47108.0), ('teastore-db-0', 1895.0)]"
knode2,2023-11-11 09:32:24.664103,0,0.3691602702585851,0,1368752.0,5,160939.0,"[('teastore-registry-0', 10485.0), ('teastore-auth-0', 34285.0), ('teastore-recommender-0', 24465.0), ('teastore-persistence-0', 34951.0), ('teastore-webui-0', 56753.0)]"
knode1,2023-11-11 09:32:34.729676,0,0.4637384136622391,0,420248.0,2,25428.0,"[('teastore-image-0', 24090.0), ('teastore-db-0', 1338.0)]"
knode2,2023-11-11 09:32:34.729685,0,0.3691602702585851,0,1368752.0,5,160939.0,"[('teastore-registry-0', 10485.0), ('teastore-auth-0', 34285.0), ('teastore-recommender-0', 24465.0), ('teastore-persistence-0', 34951.0), ('teastore-webui-0', 56753.0)]"
knode1,2023-11-11 09:32:44.799807,0,0.4637384136622391,0,420248.0,2,25428.0,"[('teastore-image-0', 24090.0), ('teastore-db-0', 1338.0)]"
knode1,2023-11-11 09:32:54.859608,0,0.4637384136622391,0,420248.0,2,25428.0,"[('teastore-image-0', 24090.0), ('teastore-db-0', 1338.0)]"
knode2,2023-11-11 09:32:54.859610,0,0.36984012921945986,0,321180.0,5,291868.0,"[('teastore-registry-0', 9268.0), ('teastore-auth-0', 47100.0), ('teastore-recommender-0', 34237.0), ('teastore-persistence-0', 70934.0), ('teastore-webui-0', 130329.0)]"
knode1,2023-11-11 09:33:04.956375,0,0.46370404554079697,0,36354.0,2,45051.0,"[('teastore-image-0', 41855.0), ('teastore-db-0', 3196.0)]"
knode2,2023-11-11 09:33:04.956377,0,0.36984012921945986,0,321180.0,5,291868.0,"[('teastore-registry-0', 9268.0), ('teastore-auth-0', 47100.0), ('teastore-recommender-0', 34237.0), ('teastore-persistence-0', 70934.0), ('teastore-webui-0', 130329.0)]"
knode1,2023-11-11 09:33:15.052233,0,0.46370404554079697,0,36354.0,2,45051.0,"[('teastore-image-0', 41855.0), ('teastore-db-0', 3196.0)]"
knode1,2023-11-11 09:33:25.130152,0,0.46370404554079697,0,36354.0,2,45051.0,"[('teastore-image-0', 41855.0), ('teastore-db-0', 3196.0)]"
knode2,2023-11-11 09:33:25.130154,0,0.367458741726188,0,343904.0,5,421793.0,"[('teastore-registry-0', 9678.0), ('teastore-auth-0', 42056.0), ('teastore-recommender-0', 51734.0), ('teastore-persistence-0', 108924.0), ('teastore-webui-0', 209401.0)]"
knode1,2023-11-11 09:33:35.186911,0,0.4636940872865275,0,30004.0,2,55969.0,"[('teastore-image-0', 51535.0), ('teastore-db-0', 4434.0)]"
knode2,2023-11-11 09:33:35.186913,0,0.367458741726188,0,343904.0,5,421793.0,"[('teastore-registry-0', 9678.0), ('teastore-auth-0', 42056.0), ('teastore-recommender-0', 51734.0), ('teastore-persistence-0', 108924.0), ('teastore-webui-0', 209401.0)]"
knode1,2023-11-11 09:33:45.276058,0,0.4636940872865275,0,30004.0,2,55969.0,"[('teastore-image-0', 51535.0), ('teastore-db-0', 4434.0)]"
knode1,2023-11-11 09:33:55.340621,0,0.4636940872865275,0,30004.0,2,55969.0,"[('teastore-image-0', 51535.0), ('teastore-db-0', 4434.0)]"
