instance,timestamp,cpu_usage,memory_usage,network_usage,wattage,num_processes,process_wattage,processes
knode1,2023-11-08 17:04:27.945219,0,0.5850452523719165,0,259756.0,2,38063.0,"[('teastore-image-0', 15688.0), ('teastore-auth-0', 22375.0)]"
knode2,2023-11-08 17:04:27.945221,0,0.4903474274804259,0,57604.0,4,94855.0,"[('teastore-registry-0', 10270.0), ('teastore-webui-0', 70892.0), ('teastore-persistence-0', 13123.0), ('teastore-db-0', 570.0)]"
knode1,2023-11-08 17:04:37.996703,0,0.5850452523719165,0,83213.99999999999,2,90685.0,"[('teastore-image-0', 67275.0), ('teastore-auth-0', 23410.0)]"
knode2,2023-11-08 17:04:37.996705,0,0.4903474274804259,0,57604.0,4,94855.0,"[('teastore-registry-0', 10270.0), ('teastore-webui-0', 70892.0), ('teastore-persistence-0', 13123.0), ('teastore-db-0', 570.0)]"
knode1,2023-11-08 17:04:48.047112,0,0.5850452523719165,0,83214.0,2,90685.0,"[('teastore-image-0', 67275.0), ('teastore-auth-0', 23410.0)]"
knode2,2023-11-08 17:04:48.047114,0,0.4879809656760347,0,983325.9513,4,659042.0,"[('teastore-registry-0', 10337.0), ('teastore-webui-0', 511880.0), ('teastore-persistence-0', 134545.0), ('teastore-db-0', 2280.0)]"
knode1,2023-11-08 17:04:58.098776,0,0.5845742998102467,0,83214.0,2,90685.0,"[('teastore-image-0', 67275.0), ('teastore-auth-0', 23410.0)]"
knode2,2023-11-08 17:04:58.098778,0,0.4879809656760347,0,1182087.4916,4,659042.0,"[('teastore-registry-0', 10337.0), ('teastore-webui-0', 511880.0), ('teastore-persistence-0', 134545.0), ('teastore-db-0', 2280.0)]"
knode1,2023-11-08 17:05:08.140902,0,0.5845742998102467,0,118464.0,2,141692.0,"[('teastore-image-0', 89537.0), ('teastore-auth-0', 52155.0)]"
knode2,2023-11-08 17:05:08.140903,0,0.4879809656760347,0,1186518.0,4,659042.0,"[('teastore-registry-0', 10337.0), ('teastore-webui-0', 511880.0), ('teastore-persistence-0', 134545.0), ('teastore-db-0', 2280.0)]"
knode1,2023-11-08 17:05:18.194490,0,0.5845742998102467,0,118464.0,2,141692.0,"[('teastore-image-0', 89537.0), ('teastore-auth-0', 52155.0)]"
knode2,2023-11-08 17:05:18.194492,0,0.48750975797748775,0,887124.0,4,239496.0,"[('teastore-registry-0', 8661.0), ('teastore-webui-0', 135824.0), ('teastore-persistence-0', 93174.0), ('teastore-db-0', 1837.0)]"
knode1,2023-11-08 17:05:28.247105,0,0.5844249259962049,0,118464.0,2,141692.0,"[('teastore-image-0', 89537.0), ('teastore-auth-0', 52155.0)]"
knode2,2023-11-08 17:05:28.247108,0,0.48750975797748775,0,887124.0,4,239496.0,"[('teastore-registry-0', 8661.0), ('teastore-webui-0', 135824.0), ('teastore-persistence-0', 93174.0), ('teastore-db-0', 1837.0)]"
knode1,2023-11-08 17:05:38.294496,0,0.5844249259962049,0,323046.0,2,67150.0,"[('teastore-image-0', 42370.0), ('teastore-auth-0', 24780.0)]"
knode2,2023-11-08 17:05:38.294498,0,0.48750975797748775,0,887124.0,4,239496.0,"[('teastore-registry-0', 8661.0), ('teastore-webui-0', 135824.0), ('teastore-persistence-0', 93174.0), ('teastore-db-0', 1837.0)]"
knode1,2023-11-08 17:05:48.377574,0,0.5844249259962049,0,323046.0,2,67150.0,"[('teastore-image-0', 42370.0), ('teastore-auth-0', 24780.0)]"
knode2,2023-11-08 17:05:48.377575,0,0.48753449021402145,0,874851.9999999999,4,202261.0,"[('teastore-registry-0', 14570.0), ('teastore-webui-0', 114996.0), ('teastore-persistence-0', 70815.0), ('teastore-db-0', 1880.0)]"
knode1,2023-11-08 17:05:58.430465,0,0.5836523111954459,0,323046.0,2,67150.0,"[('teastore-image-0', 42370.0), ('teastore-auth-0', 24780.0)]"
knode2,2023-11-08 17:05:58.430466,0,0.48753449021402145,0,874852.0,4,202261.0,"[('teastore-registry-0', 14570.0), ('teastore-webui-0', 114996.0), ('teastore-persistence-0', 70815.0), ('teastore-db-0', 1880.0)]"
knode1,2023-11-08 17:06:08.480064,0,0.5836523111954459,0,292042.0,2,55936.0,"[('teastore-image-0', 29943.0), ('teastore-auth-0', 25993.0)]"
knode2,2023-11-08 17:06:08.480066,0,0.48753449021402145,0,874852.0,4,202261.0,"[('teastore-registry-0', 14570.0), ('teastore-webui-0', 114996.0), ('teastore-persistence-0', 70815.0), ('teastore-db-0', 1880.0)]"
knode1,2023-11-08 17:06:18.528636,0,0.5836523111954459,0,292042.0,2,55936.0,"[('teastore-image-0', 29943.0), ('teastore-auth-0', 25993.0)]"
knode2,2023-11-08 17:06:18.528638,0,0.48733040300531827,0,860170.0,4,185761.0,"[('teastore-registry-0', 9182.0), ('teastore-webui-0', 110795.0), ('teastore-persistence-0', 64279.0), ('teastore-db-0', 1505.0)]"
knode1,2023-11-08 17:06:28.604659,0,0.5836973662239089,0,292042.0,2,55936.0,"[('teastore-image-0', 29943.0), ('teastore-auth-0', 25993.0)]"
knode2,2023-11-08 17:06:28.604661,0,0.48733040300531827,0,860170.0,4,185761.0,"[('teastore-registry-0', 9182.0), ('teastore-webui-0', 110795.0), ('teastore-persistence-0', 64279.0), ('teastore-db-0', 1505.0)]"
knode2,2023-11-08 17:06:38.651425,0,0.48733040300531827,0,860170.0,4,185761.0,"[('teastore-registry-0', 9182.0), ('teastore-webui-0', 110795.0), ('teastore-persistence-0', 64279.0), ('teastore-db-0', 1505.0)]"
knode2,2023-11-08 17:06:48.701681,0,0.4871040506160948,0,810386.0,4,159582.0,"[('teastore-registry-0', 6771.0), ('teastore-webui-0', 98797.0), ('teastore-persistence-0', 52322.0), ('teastore-db-0', 1692.0)]"
knode2,2023-11-08 17:06:58.749035,0,0.4871040506160948,0,810386.0,4,159582.0,"[('teastore-registry-0', 6771.0), ('teastore-webui-0', 98797.0), ('teastore-persistence-0', 52322.0), ('teastore-db-0', 1692.0)]"
knode2,2023-11-08 17:07:08.829436,0,0.4871040506160948,0,810386.0,4,159582.0,"[('teastore-registry-0', 6771.0), ('teastore-webui-0', 98797.0), ('teastore-persistence-0', 52322.0), ('teastore-db-0', 1692.0)]"
knode2,2023-11-08 17:07:18.912974,0,0.48628245928725394,0,249106.0,4,297180.0,"[('teastore-registry-0', 7116.0), ('teastore-webui-0', 168659.0), ('teastore-persistence-0', 117420.0), ('teastore-db-0', 3985.0)]"
knode2,2023-11-08 17:07:28.968962,0,0.48628245928725394,0,249106.0,4,297180.0,"[('teastore-registry-0', 7116.0), ('teastore-webui-0', 168659.0), ('teastore-persistence-0', 117420.0), ('teastore-db-0', 3985.0)]"
knode1,2023-11-08 17:07:39.025420,0,0.5834543605313093,0,351758.0,2,78433.0,"[('teastore-image-0', 52805.0), ('teastore-auth-0', 25628.0)]"
knode2,2023-11-08 17:07:39.025430,0,0.48628245928725394,0,249106.0,4,297180.0,"[('teastore-registry-0', 7116.0), ('teastore-webui-0', 168659.0), ('teastore-persistence-0', 117420.0), ('teastore-db-0', 3985.0)]"
knode1,2023-11-08 17:07:49.080295,0,0.5834543605313093,0,351758.0,2,78433.0,"[('teastore-image-0', 52805.0), ('teastore-auth-0', 25628.0)]"
