instance,timestamp,cpu_usage,memory_usage,network_usage,wattage,num_processes,process_wattage,processes
knode1,2023-11-13 11:12:33.725468,0,0.46550066034155596,0,4234.0,1,634.0,"[('teastore-db-0', 634.0)]"
knode2,2023-11-13 11:12:33.725470,0,0.35782205087969976,0,1168326.0,6,118805.0,"[('teastore-recommender-0', 33667.0), ('teastore-registry-0', 11072.0), ('teastore-auth-0', 27831.0), ('teastore-persistence-0', 11671.0), ('teastore-webui-0', 34265.0), ('teastore-image-0', 299.0)]"
knode1,2023-11-13 11:12:43.780288,0,0.46550066034155596,0,4234.0,1,634.0,"[('teastore-db-0', 634.0)]"
knode2,2023-11-13 11:12:43.780290,0,0.35782205087969976,0,1168326.0,6,118805.0,"[('teastore-recommender-0', 33667.0), ('teastore-registry-0', 11072.0), ('teastore-auth-0', 27831.0), ('teastore-persistence-0', 11671.0), ('teastore-webui-0', 34265.0), ('teastore-image-0', 299.0)]"
knode1,2023-11-13 11:12:53.852273,0,0.46550066034155596,0,4234.0,1,634.0,"[('teastore-db-0', 634.0)]"
knode2,2023-11-13 11:12:53.852276,0,0.3552619868546621,0,1591482.0,6,914241.0,"[('teastore-recommender-0', 54417.0), ('teastore-registry-0', 55374.0), ('teastore-auth-0', 73407.0), ('teastore-persistence-0', 161975.0), ('teastore-webui-0', 567951.0), ('teastore-image-0', 1117.0)]"
knode1,2023-11-13 11:13:03.911358,0,0.46551802656546487,0,337550.0,1,1630.0,"[('teastore-db-0', 1630.0)]"
knode2,2023-11-13 11:13:03.911360,0,0.3552619868546621,0,1591482.0,6,914241.0,"[('teastore-recommender-0', 54417.0), ('teastore-registry-0', 55374.0), ('teastore-auth-0', 73407.0), ('teastore-persistence-0', 161975.0), ('teastore-webui-0', 567951.0), ('teastore-image-0', 1117.0)]"
knode1,2023-11-13 11:13:13.971776,0,0.46551802656546487,0,337550.0,1,1630.0,"[('teastore-db-0', 1630.0)]"
knode2,2023-11-13 11:13:13.971778,0,0.3552619868546621,0,1591482.0,6,914241.0,"[('teastore-recommender-0', 54417.0), ('teastore-registry-0', 55374.0), ('teastore-auth-0', 73407.0), ('teastore-persistence-0', 161975.0), ('teastore-webui-0', 567951.0), ('teastore-image-0', 1117.0)]"
knode1,2023-11-13 11:13:24.033384,0,0.46551802656546487,0,337550.0,1,1630.0,"[('teastore-db-0', 1630.0)]"
knode2,2023-11-13 11:13:24.033386,0,0.3504277905965323,0,53736.0,6,863773.0,"[('teastore-recommender-0', 74186.0), ('teastore-registry-0', 43750.0), ('teastore-auth-0', 75742.0), ('teastore-persistence-0', 171371.0), ('teastore-webui-0', 498552.0), ('teastore-image-0', 172.0)]"
knode1,2023-11-13 11:13:34.094890,0,0.4655112258064516,0,39934.0,1,1690.0,"[('teastore-db-0', 1690.0)]"
knode2,2023-11-13 11:13:34.094893,0,0.3504277905965323,0,53736.0,6,863773.0,"[('teastore-recommender-0', 74186.0), ('teastore-registry-0', 43750.0), ('teastore-auth-0', 75742.0), ('teastore-persistence-0', 171371.0), ('teastore-webui-0', 498552.0), ('teastore-image-0', 172.0)]"
knode1,2023-11-13 11:13:44.154203,0,0.4655112258064516,0,39934.0,1,1690.0,"[('teastore-db-0', 1690.0)]"
knode1,2023-11-13 11:13:54.215620,0,0.4655112258064516,0,39934.0,1,1690.0,"[('teastore-db-0', 1690.0)]"
knode2,2023-11-13 11:13:54.215622,0,0.34686110604165366,0,1818594.0,6,502093.0,"[('teastore-recommender-0', 28196.0), ('teastore-registry-0', 36068.0), ('teastore-auth-0', 59970.0), ('teastore-persistence-0', 97900.0), ('teastore-webui-0', 279673.0), ('teastore-image-0', 286.0)]"
knode1,2023-11-13 11:14:04.274607,0,0.46545742694497155,0,1678.0,1,1538.0,"[('teastore-db-0', 1538.0)]"
knode2,2023-11-13 11:14:04.274609,0,0.34686110604165366,0,1818594.0,6,502093.0,"[('teastore-recommender-0', 28196.0), ('teastore-registry-0', 36068.0), ('teastore-auth-0', 59970.0), ('teastore-persistence-0', 97900.0), ('teastore-webui-0', 279673.0), ('teastore-image-0', 286.0)]"
knode1,2023-11-13 11:14:14.337528,0,0.46545742694497155,0,1678.0,1,1538.0,"[('teastore-db-0', 1538.0)]"
knode1,2023-11-13 11:14:24.394832,0,0.46545742694497155,0,1678.0,1,1538.0,"[('teastore-db-0', 1538.0)]"
knode2,2023-11-13 11:14:24.394833,0,0.3414868095458045,0,1792318.0,6,407636.0,"[('teastore-recommender-0', 32844.0), ('teastore-registry-0', 28393.0), ('teastore-auth-0', 39904.0), ('teastore-persistence-0', 87329.0), ('teastore-webui-0', 219013.0), ('teastore-image-0', 153.0)]"
knode1,2023-11-13 11:14:34.485827,0,0.46543435294117647,0,9227.999999999998,1,1063.0,"[('teastore-db-0', 1063.0)]"
knode2,2023-11-13 11:14:34.485829,0,0.3414868095458045,0,1792318.0,6,407636.0,"[('teastore-recommender-0', 32844.0), ('teastore-registry-0', 28393.0), ('teastore-auth-0', 39904.0), ('teastore-persistence-0', 87329.0), ('teastore-webui-0', 219013.0), ('teastore-image-0', 153.0)]"
knode1,2023-11-13 11:14:44.543663,0,0.46543435294117647,0,9228.0,1,1063.0,"[('teastore-db-0', 1063.0)]"
knode1,2023-11-13 11:14:54.602775,0,0.46543435294117647,0,9228.0,1,1063.0,"[('teastore-db-0', 1063.0)]"
knode2,2023-11-13 11:14:54.602777,0,0.3416179952493136,0,1606820.0,6,291094.0,"[('teastore-recommender-0', 38616.0), ('teastore-registry-0', 26112.0), ('teastore-auth-0', 25744.0), ('teastore-persistence-0', 60683.0), ('teastore-webui-0', 138468.0), ('teastore-image-0', 1471.0)]"
knode1,2023-11-13 11:15:04.721179,0,0.4656670360531309,0,387410.0,1,1900.0,"[('teastore-db-0', 1900.0)]"
knode2,2023-11-13 11:15:04.721181,0,0.3416179952493136,0,1606820.0,6,291094.0,"[('teastore-recommender-0', 38616.0), ('teastore-registry-0', 26112.0), ('teastore-auth-0', 25744.0), ('teastore-persistence-0', 60683.0), ('teastore-webui-0', 138468.0), ('teastore-image-0', 1471.0)]"
knode1,2023-11-13 11:15:14.781257,0,0.4656670360531309,0,387410.0,1,1900.0,"[('teastore-db-0', 1900.0)]"
knode1,2023-11-13 11:15:24.842218,0,0.4656670360531309,0,387410.0,1,1900.0,"[('teastore-db-0', 1900.0)]"
knode2,2023-11-13 11:15:24.842220,0,0.3388052430121101,0,550442.0,6,574964.0,"[('teastore-recommender-0', 31479.0), ('teastore-registry-0', 32895.0), ('teastore-auth-0', 53357.0), ('teastore-persistence-0', 104353.0), ('teastore-webui-0', 352723.0), ('teastore-image-0', 157.0)]"
