Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1699828129,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1699828130,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1699828131,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1699828132,6,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1699828133,8,GET,/category,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,8,3,1900.0,2332.351893186569,878.1642243266106,3885.126546025276,74214.5
1699828133,8,,Aggregated,0.000000,0.000000,2700,2800,3800,3800,3900,3900,3900,3900,3900,3900,3900,8,3,1900.0,2332.351893186569,878.1642243266106,3885.126546025276,74214.5
1699828134,10,GET,/category,0.000000,0.000000,880,1900,1900,1900,3900,3900,3900,3900,3900,3900,3900,10,3,1900.0,1893.6590939760208,77.3608610033989,3885.126546025276,82186.8
1699828134,10,,Aggregated,0.000000,0.000000,1900,2700,2800,3800,3900,3900,3900,3900,3900,3900,3900,10,3,1900.0,1893.6590939760208,77.3608610033989,3885.126546025276,82186.8
1699828135,12,GET,/category,0.000000,0.000000,200,880,1900,1900,1900,3900,3900,3900,3900,3900,3900,14,3,880.0,1392.6347318504538,77.3608610033989,3885.126546025276,90037.64285714286
1699828135,12,,Aggregated,0.000000,0.000000,880,1900,2700,2800,3800,3900,3900,3900,3900,3900,3900,14,3,880.0,1392.6347318504538,77.3608610033989,3885.126546025276,90037.64285714286
1699828136,14,GET,/category,2.000000,0.600000,160,200,880,1900,1900,3900,3900,3900,3900,3900,3900,18,3,160.0,1101.3183490269714,51.24558508396149,3885.126546025276,93170.66666666667
1699828136,14,GET,/product,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,760.0,991.7509071528912,759.078323841095,1224.4234904646873,124710.0
1699828136,14,,Aggregated,2.000000,0.600000,760,1200,1900,2700,3800,3900,3900,3900,3900,3900,3900,20,3,200.0,1090.3616048395634,51.24558508396149,3885.126546025276,96324.6
1699828137,16,GET,/category,2.000000,0.600000,160,170,200,880,1900,1900,3900,3900,3900,3900,3900,25,3,160.0,826.2545603513718,44.67632621526718,3885.126546025276,100984.48
1699828137,16,GET,/product,0.000000,0.000000,92,92,92,92,92,92,92,92,92,92,92,3,0,760.0,691.9921487569809,92.47463196516037,1224.4234904646873,131877.33333333334
1699828137,16,,Aggregated,2.000000,0.600000,170,760,1200,1900,2800,3800,3900,3900,3900,3900,3900,28,3,160.0,811.8693019662585,44.67632621526718,3885.126546025276,104294.42857142857
