instance,timestamp,cpu_usage,memory_usage,network_usage,wattage,num_processes,process_wattage,processes
knode1,2023-11-12 23:28:58.793865,0,0.4353247210626186,0,413476.0,3,43069.0,"[('teastore-image-0', 11876.0), ('teastore-webui-0', 30932.0), ('teastore-db-0', 261.0)]"
knode2,2023-11-12 23:28:58.793867,0,0.374701771475738,0,986622.0,4,82834.0,"[('teastore-persistence-0', 11262.0), ('teastore-auth-0', 23709.0), ('teastore-registry-0', 13040.0), ('teastore-recommender-0', 34823.0)]"
knode1,2023-11-12 23:29:08.851557,0,0.4353247210626186,0,517166.0,3,303203.0,"[('teastore-image-0', 97145.0), ('teastore-webui-0', 205307.0), ('teastore-db-0', 751.0)]"
knode2,2023-11-12 23:29:08.851559,0,0.374701771475738,0,986622.0,4,82834.0,"[('teastore-persistence-0', 11262.0), ('teastore-auth-0', 23709.0), ('teastore-registry-0', 13040.0), ('teastore-recommender-0', 34823.0)]"
knode1,2023-11-12 23:29:18.920140,0,0.4353247210626186,0,517166.0,3,303203.0,"[('teastore-image-0', 97145.0), ('teastore-webui-0', 205307.0), ('teastore-db-0', 751.0)]"
knode2,2023-11-12 23:29:18.920149,0,0.37236257064029415,0,547950.0,4,334740.0,"[('teastore-persistence-0', 167083.0), ('teastore-auth-0', 87862.0), ('teastore-registry-0', 22037.0), ('teastore-recommender-0', 57758.0)]"
knode1,2023-11-12 23:29:28.982935,0,0.4332544971537002,0,517166.0,3,303203.0,"[('teastore-image-0', 97145.0), ('teastore-webui-0', 205307.0), ('teastore-db-0', 751.0)]"
knode2,2023-11-12 23:29:28.982937,0,0.37236257064029415,0,547950.0,4,334740.0,"[('teastore-persistence-0', 167083.0), ('teastore-auth-0', 87862.0), ('teastore-registry-0', 22037.0), ('teastore-recommender-0', 57758.0)]"
knode1,2023-11-12 23:29:39.052606,0,0.4332544971537002,0,247638.0,3,381581.0,"[('teastore-image-0', 118241.0), ('teastore-webui-0', 261592.0), ('teastore-db-0', 1748.0)]"
knode2,2023-11-12 23:29:39.052609,0,0.37236257064029415,0,547950.0,4,334740.0,"[('teastore-persistence-0', 167083.0), ('teastore-auth-0', 87862.0), ('teastore-registry-0', 22037.0), ('teastore-recommender-0', 57758.0)]"
knode1,2023-11-12 23:29:49.115744,0,0.4332544971537002,0,247638.0,3,381581.0,"[('teastore-image-0', 118241.0), ('teastore-webui-0', 261592.0), ('teastore-db-0', 1748.0)]"
